Sample;Treatment;Temperature;Comment
001_3_31_2024;Control;25;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
002_3_31_2024;Control;25;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
003_3_31_2024;Control;25;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
004_3_31_2024;MY_TREATMENT;25;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
005_3_31_2024;MY_TREATMENT;25;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
006_3_31_2024;MY_TREATMENT;25;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
007_3_31_2024;Control;30;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
008_3_31_2024;Control;30;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
009_3_31_2024;Control;30;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
10_3_31_2024;MY_TREATMENT;30;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
11_3_31_2024;MY_TREATMENT;30;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
12_3_31_2024;MY_TREATMENT;30;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
13_3_31_2024;Control;35;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
14_3_31_2024;Control;35;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
15_3_31_2024;Control;35;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
16_3_31_2024;MY_TREATMENT;35;Sample = NAME OF SAMPLE in PROTEIN GROUPS file, Temperature = MY ASSAY'S TEMPERATURE (not a fixed range)
